TimeWindow  Iteration  ResRel(Displacement)  ResRel(Force)  
    76       2   3.33644174e-05   4.09822225e-01  
    76       3   1.85210260e-06   2.10191950e-02  
    76       4   3.19601314e-07   2.08093549e-04  
    77       1   1.55540896e-02   4.63220426e+00  
    77       2   2.73017676e-05   4.95306548e-01  
    77       3   1.34102351e-06   8.09510879e-04  
    78       1   1.50074715e-02   3.75897882e+00  
    78       2   2.58609947e-05   2.76242489e-01  
    78       3   2.02321970e-06   1.11750548e-03  
    79       1   1.49985071e-02   4.51688033e+00  
    79       2   9.46694327e-05   5.79997795e-01  
    79       3   4.63615405e-06   5.30275253e-02  
    79       4   6.32378809e-07   7.88613237e-04  
    80       1   1.49904023e-02   4.23797036e+00  
    80       2   7.01011904e-05   9.91351633e-02  
    80       3   5.99411771e-06   5.63692005e-02  
    80       4   1.66081641e-07   3.15275014e-03  
    81       1   1.47594504e-02   5.36797915e+00  
    81       2   9.80401448e-05   9.27178095e-01  
    81       3   3.64242241e-06   9.58935563e-03  
    81       4   1.01665020e-06   2.14518006e-03  
    82       1   1.49278349e-02   5.51163737e+00  
    82       2   4.16208887e-05   5.02784898e-01  
    82       3   2.41628106e-06   4.89377756e-02  
    82       4   7.28146732e-07   1.81194195e-03  
    83       1   1.42780766e-02   5.96311978e+00  
    83       2   4.54630604e-05   3.30917217e-02  
    83       3   1.44839406e-06   2.76319286e-02  
    83       4   1.16035045e-07   2.12578916e-04  
    84       1   1.46946640e-02   6.08363069e+00  
    84       2   4.93819999e-05   8.79793440e-01  
    84       3   3.89829831e-06   1.65065872e-03  
    85       1   1.45341017e-02   5.73767157e+00  
    85       2   3.12021760e-05   5.87081566e-01  
    85       3   2.14872935e-06   1.33762308e-02  
    85       4   3.31591619e-07   2.35856503e-04  
    86       1   1.41419109e-02   6.10204112e+00  
    86       2   5.91430404e-05   2.77746002e-01  
    86       3   2.94396906e-06   4.00809405e-03  
    87       1   1.45218073e-02   5.67345781e+00  
    87       2   2.71758359e-05   6.92573991e-01  
    87       3   2.62359703e-06   2.13033577e-02  
    87       4   2.50515691e-07   5.72861343e-04  
    88       1   1.41128122e-02   5.44413298e+00  
    88       2   4.70078966e-05   4.08458117e-01  
    88       3   3.12006460e-06   1.76602347e-02  
    88       4   1.57677587e-07   2.96452701e-04  
    89       1   1.38435627e-02   4.23008847e+00  
    89       2   5.68094962e-05   3.34001092e-01  
    89       3   2.94161852e-06   3.68087178e-02  
    89       4   2.08783766e-07   2.11942444e-03  
    90       1   1.42282775e-02   4.40033780e+00  
    90       2   4.10253697e-05   9.04800598e-01  
    90       3   3.04874021e-06   1.40429199e-02  
    90       4   2.48968096e-07   3.02043075e-04  
    91       1   1.39316549e-02   4.50762090e+00  
    91       2   5.26818916e-05   7.49795543e-01  
    91       3   1.75227977e-06   3.88969381e-02  
    91       4   1.49488850e-07   5.81695622e-04  
    92       1   1.37463365e-02   6.03297637e+00  
    92       2   2.08076306e-05   4.35799132e-01  
    92       3   1.23128501e-06   4.19877979e-02  
    92       4   1.24696605e-07   2.12448284e-03  
    93       1   1.39116589e-02   5.73086551e+00  
    93       2   5.50805771e-05   6.16964915e-01  
    93       3   2.96132738e-06   1.11292159e-02  
    93       4   2.05367160e-07   1.52629673e-03  
    94       1   1.36519219e-02   5.97877585e+00  
    94       2   7.88760121e-05   3.30551380e-01  
    94       3   9.47851721e-07   2.21499064e-03  
    95       1   1.35337527e-02   5.04722307e+00  
    95       2   4.14424334e-05   1.15175625e+00  
    95       3   2.98568546e-06   6.69799191e-03  
    95       4   2.04661912e-07   3.49658224e-03  
    96       1   1.37858927e-02   4.91207677e+00  
    96       2   2.78004004e-05   2.24027370e-01  
    96       3   1.11260636e-06   1.40654458e-03  
    97       1   1.32785206e-02   3.82868933e+00  
    97       2   3.34420431e-05   6.24335388e-02  
    97       3   2.19582309e-06   2.07581686e-03  
    98       1   1.40512275e-02   3.55341253e+00  
    98       2   7.03723187e-05   4.74658248e-01  
    98       3   4.43101314e-06   1.41929207e-02  
    98       4   3.37506100e-07   5.94507735e-04  
    99       1   1.29188953e-02   3.23481014e+00  
    99       2   2.13615737e-05   2.57283465e-01  
    99       3   2.27888065e-06   9.03246372e-03  
    99       4   2.65374779e-07   2.53282477e-03  
   100       1   1.39063238e-02   3.30201021e+00  
   100       2   2.66473705e-05   1.47241440e-01  
   100       3   9.23921017e-07   3.37477652e-03  
   101       1   1.29157194e-02   3.47138716e+00  
   101       2   2.53619395e-05   1.34756835e-01  
   101       3   1.45935071e-06   2.65135391e-02  
   101       4   7.74550298e-08   6.87222066e-04  
   102       1   1.34145485e-02   4.01409817e+00  
   102       2   2.61685019e-05   3.38354384e-01  
   102       3   1.94387880e-06   1.79992385e-02  
   102       4   1.89405193e-07   2.37580528e-04  
